user_id,username,email,signup_date,plan
USR-5-0000,bob_moore_68,bob_moore_68gmail.com,2026-08-12,pro
USR-5-0001,charlie_anderson_86,charlie_anderson_86@yahoo.com,2026-12-10,free
USR-5-0002,bob_taylor_26,,2026-04-10,free
USR-5-0003,bob_moore_98,missing_domain@Bob,2026-07-02,free
USR-5-0004,ian_jackson_17,ian_jackson_17@gmail.com,2026-02-10,
USR-5-0005,bob_johnson_87,bob_johnson_87@yahoo.com,2026-11-12,free
USR-5-0006,ethan_jackson_54,ethan_jackson_54@mail.net,2026-04-17,enterprise
USR-5-0007,julia_smith_77,julia_smith_77@outlook.com,2026-03-25,
USR-5-0008,bob_taylor_74,bob_taylor_74@mail.net,2026-03-15,enterprise
USR-5-0009,charlie_wilson_58,charlie_wilson_58@company.org,2026-02-25,pro
USR-5-0010,bob_thomas_27,bob_thomas_27@outlook.com,2026-09-24,free
USR-5-0011,hannah_johnson_59,hannah_johnson_59@outlook.com,2026-11-27,pro
USR-5-0012,george_miller_64,invalid_email_format,2026-03-01,enterprise
USR-5-0013,bob_moore_66,bob_moore_66@gmail.com,2026-03-13,pro
USR-5-0014,bob_brown_18,bob_brown_18@yahoo.com,2026-10-28,pro
USR-5-0015,george_anderson_45,george_anderson_45@mail.net,2026-05-25,enterprise
USR-5-0016,fiona_anderson_95,fiona_anderson_95@company.org,2026-09-09,free
USR-5-0017,bob_johnson_42,bob_johnson_42@yahoo.com,2026-01-04,enterprise
USR-5-0018,,,2026-10-22,pro
USR-5-0019,julia_jackson_22,julia_jackson_22@mail.net,2026-08-26,pro
USR-5-0020,hannah_anderson_74,hannah_anderson_74@mail.net,2026-09-01,free
USR-5-0021,bob_moore_67,bob_moore_67@company.org,2026-01-02,free
USR-5-0022,ethan_brown_72,ethan_brown_72@company.org,2026-08-25,free
USR-5-0023,hannah_thomas_97,hannah_thomas_97@mail.net,2026-03-17,free
USR-5-0024,hannah_jackson_58,hannah_jackson_58@outlook.com,2026-06-02,free
USR-5-0025,charlie_wilson_54,charlie_wilson_54@outlook.com,2026-07-04,pro
USR-5-0026,,@yahoo.com,2026-11-10,enterprise
USR-5-0027,bob_miller_24,bob_miller_24gmail.com,2026-08-22,pro
USR-5-0028,george_miller_12,george_miller_12@outlook.com,2026-07-19,pro
USR-5-0029,bob_anderson_22,bob_anderson_22@company.org,2026-09-26,enterprise
USR-5-0030,julia_miller_56,julia_miller_56@gmail.com,2026-09-07,pro
USR-5-0031,ethan_jackson_61,ethan_jackson_61@gmail.com,2026-12-28,enterprise
