user_id,username,email,signup_date,plan
USR-7-0000,charlie_thomas_55,charlie_thomas_55@company.org,2026-03-12,free
USR-7-0001,diana_thomas_25,diana_thomas_25@outlook.com,2026-04-01,enterprise
USR-7-0002,george_taylor_49,george_taylor_49@mail.net,2026-01-15,enterprise
USR-7-0003,alice_wilson_10,alice_wilson_10@outlook.com,2026-02-01,pro
USR-7-0004,,@yahoo.com,2026-02-17,enterprise
USR-7-0005,,@outlook.com,2026-04-16,pro
USR-7-0006,fiona_moore_33,fiona_moore_33@company.org,2026-11-27,pro
USR-7-0007,fiona_moore_10,fiona_moore_10@yahoo.com,2026-02-07,pro
USR-7-0008,george_moore_52,,2026-04-16,enterprise
USR-7-0009,bob_moore_72,bob_moore_72@yahoo.com,2026-06-25,pro
USR-7-0010,george_brown_24,george_brown_24@yahoo.com,2026-03-12,
USR-7-0011,diana_smith_96,diana_smith_96@mail.net,2026-12-01,pro
USR-7-0012,ethan_anderson_20,ethan_anderson_20@yahoo.com,2026-12-17,free
USR-7-0013,bob_miller_99,bob_miller_99@yahoo.com,2026-08-23,free
USR-7-0014,ian_jackson_33,ian_jackson_33@yahoo.com,2026-04-04,free
USR-7-0015,ethan_taylor_28,ethan_taylor_28@gmail.com,2026-01-13,pro
USR-7-0016,diana_taylor_53,diana_taylor_53gmail.com,2026-05-04,pro
USR-7-0017,fiona_moore_41,fiona_moore_41gmail.com,2026-01-22,enterprise
USR-7-0018,ethan_anderson_45,invalid_email_format,2026-08-12,pro
USR-7-0019,bob_smith_97,bob_smith_97@outlook.com,2026-06-24,pro
USR-7-0020,julia_thomas_87,julia_thomas_87@yahoo.com,2026-10-13,free
USR-7-0021,,@yahoo.com,2026-04-23,pro
USR-7-0022,bob_thomas_89,bob_thomas_89@yahoo.com,2026-09-24,free
USR-7-0023,diana_moore_80,diana_moore_80@mail.net,2026-06-12,pro
USR-7-0024,bob_moore_18,bob_moore_18@mail.net,2026-01-06,enterprise
USR-7-0025,charlie_miller_15,missing_domain@Charlie,2026-08-22,enterprise
USR-7-0026,bob_brown_66,bob_brown_66@company.org,2026-07-20,pro
USR-7-0027,alice_brown_83,alice_brown_83@mail.net,2026-08-17,enterprise
USR-7-0028,ethan_miller_38,ethan_miller_38@gmail.com,2026-03-08,free
USR-7-0029,ethan_smith_91,ethan_smith_91@yahoo.com,2026-05-28,free
USR-7-0030,diana_taylor_78,diana_taylor_78@mail.net,2026-06-11,free
USR-7-0031,ian_miller_27,ian_miller_27@outlook.com,2026-01-21,free
USR-7-0032,diana_miller_32,diana_miller_32gmail.com,2026-12-24,enterprise
USR-7-0033,ethan_jackson_80,ethan_jackson_80@outlook.com,2026-05-07,enterprise
USR-7-0034,george_brown_67,george_brown_67@outlook.com,2026-03-16,free
USR-7-0035,hannah_brown_32,hannah_brown_32@yahoo.com,2026-11-10,free
USR-7-0036,charlie_moore_97,missing_domain@Charlie,2026-04-15,enterprise
USR-7-0037,bob_thomas_27,bob_thomas_27@mail.net,2026-02-13,
USR-7-0038,alice_smith_26,alice_smith_26gmail.com,2026-01-26,free
USR-7-0039,fiona_johnson_35,fiona_johnson_35@company.org,2026-03-10,pro
USR-7-0040,diana_smith_79,diana_smith_79@gmail.com,2026-01-27,free
USR-7-0041,ethan_johnson_75,ethan_johnson_75@gmail.com,2026-04-01,free
USR-7-0042,charlie_wilson_93,charlie_wilson_93@company.org,2026-11-23,free
USR-7-0043,bob_taylor_23,bob_taylor_23@gmail.com,2026-10-11,free
USR-7-0044,bob_smith_87,bob_smith_87@outlook.com,2026-10-06,enterprise
USR-7-0045,ethan_jackson_46,invalid_email_format,2026-05-26,enterprise
USR-7-0046,alice_brown_93,,2026-08-24,pro
USR-7-0047,bob_jackson_64,bob_jackson_64@gmail.com,2026-06-05,free
USR-7-0048,fiona_wilson_73,fiona_wilson_73@company.org,2026-10-26,enterprise
USR-7-0049,diana_moore_63,diana_moore_63@company.org,2026-09-18,free
USR-7-0050,julia_moore_77,julia_moore_77@yahoo.com,2026-12-03,free
USR-7-0051,diana_smith_56,diana_smith_56@gmail.com,2026-01-12,pro
USR-7-0052,charlie_miller_68,charlie_miller_68@company.org,2026-04-07,free
USR-7-0053,charlie_johnson_99,charlie_johnson_99@gmail.com,2026-12-14,pro
USR-7-0054,bob_jackson_19,bob_jackson_19@yahoo.com,2026-01-05,pro
USR-7-0055,diana_johnson_11,diana_johnson_11@yahoo.com,2026-03-16,enterprise
USR-7-0056,ian_miller_70,ian_miller_70@gmail.com,2026-05-04,free
USR-7-0057,alice_jackson_32,missing_domain@Alice,2026-09-23,pro
USR-7-0058,ian_miller_39,,2026-02-17,pro
USR-7-0059,charlie_taylor_61,charlie_taylor_61@yahoo.com,2026-12-18,enterprise
USR-7-0060,hannah_anderson_50,hannah_anderson_50@company.org,2026-03-02,pro
USR-7-0061,diana_miller_23,diana_miller_23@outlook.com,2026-01-08,pro
USR-7-0062,bob_johnson_37,bob_johnson_37@outlook.com,2026-04-18,free
USR-7-0063,,@gmail.com,2026-10-26,pro
USR-7-0064,,@outlook.com,2026-07-17,free
USR-7-0065,george_wilson_26,george_wilson_26gmail.com,2026-09-26,
USR-7-0066,george_anderson_85,George @ yahoo.com,2026-11-15,free
USR-7-0067,bob_taylor_37,bob_taylor_37@yahoo.com,2026-09-17,enterprise
USR-7-0068,ian_wilson_67,ian_wilson_67@outlook.com,2026-10-28,pro
USR-7-0069,george_taylor_36,george_taylor_36@yahoo.com,2026-10-21,pro
USR-7-0070,alice_brown_49,alice_brown_49@gmail.com,2026-08-04,pro
USR-7-0071,ethan_brown_18,ethan_brown_18@gmail.com,2026-02-06,enterprise
USR-7-0072,ethan_anderson_42,ethan_anderson_42@yahoo.com,2026-02-19,
USR-7-0073,ethan_moore_62,ethan_moore_62@yahoo.com,2026-08-12,enterprise
USR-7-0074,fiona_wilson_20,fiona_wilson_20@outlook.com,2026-11-02,enterprise
USR-7-0075,alice_taylor_99,invalid_email_format,2026-07-06,enterprise
USR-7-0076,bob_taylor_59,bob_taylor_59@outlook.com,2026-08-15,enterprise
USR-7-0077,hannah_johnson_20,missing_domain@Hannah,2026-04-13,pro
USR-7-0078,fiona_jackson_72,fiona_jackson_72@gmail.com,2026-05-15,free
USR-7-0079,hannah_brown_91,hannah_brown_91@mail.net,2026-07-02,pro
USR-7-0080,hannah_taylor_16,invalid_email_format,2026-05-21,free
USR-7-0081,,@company.org,2026-07-17,free
USR-7-0082,,@outlook.com,2026-05-06,free
USR-7-0083,george_anderson_70,george_anderson_70@company.org,2026-06-23,enterprise
USR-7-0084,alice_thomas_86,alice_thomas_86@mail.net,2026-10-05,pro
USR-7-0085,fiona_smith_29,fiona_smith_29@company.org,2026-06-04,enterprise
USR-7-0086,ian_smith_67,ian_smith_67@company.org,2026-11-19,
USR-7-0087,diana_moore_99,,2026-07-07,pro
USR-7-0088,diana_jackson_11,diana_jackson_11@outlook.com,2026-05-17,free
USR-7-0089,hannah_moore_62,hannah_moore_62@company.org,2026-09-25,pro
USR-7-0090,charlie_anderson_64,charlie_anderson_64@yahoo.com,2026-09-14,pro
USR-7-0091,george_miller_99,george_miller_99@gmail.com,2026-02-26,free
USR-7-0092,alice_jackson_62,alice_jackson_62@mail.net,2026-09-04,enterprise
USR-7-0093,julia_smith_95,julia_smith_95@yahoo.com,2026-08-18,pro
USR-7-0094,hannah_johnson_54,hannah_johnson_54@company.org,2026-11-23,enterprise
USR-7-0095,fiona_taylor_74,fiona_taylor_74@outlook.com,2026-05-27,pro
USR-7-0096,,,2026-06-27,enterprise
USR-7-0097,julia_wilson_52,julia_wilson_52@company.org,2026-04-18,pro
