user_id,username,email,signup_date,plan
USR-3-0000,diana_thomas_59,diana_thomas_59@outlook.com,2026-12-22,free
USR-3-0001,george_moore_97,george_moore_97@gmail.com,2026-12-09,free
USR-3-0002,hannah_taylor_91,hannah_taylor_91@mail.net,2026-09-24,enterprise
USR-3-0003,diana_miller_67,diana_miller_67@yahoo.com,2026-03-24,enterprise
USR-3-0004,alice_moore_45,,2026-10-28,
USR-3-0005,hannah_brown_15,hannah_brown_15@gmail.com,2026-11-20,enterprise
USR-3-0006,,@mail.net,2026-04-06,enterprise
USR-3-0007,ian_brown_63,ian_brown_63@outlook.com,2026-04-07,enterprise
USR-3-0008,fiona_miller_37,fiona_miller_37@company.org,2026-09-27,
USR-3-0009,fiona_anderson_40,fiona_anderson_40@mail.net,2026-04-02,enterprise
USR-3-0010,george_johnson_59,george_johnson_59@gmail.com,2026-09-27,pro
USR-3-0011,,@yahoo.com,2026-06-17,free
USR-3-0012,,missing_domain@Charlie,2026-02-07,enterprise
USR-3-0013,george_johnson_97,george_johnson_97@outlook.com,2026-01-03,free
USR-3-0014,ethan_thomas_19,ethan_thomas_19@outlook.com,2026-07-13,pro
USR-3-0015,george_wilson_12,george_wilson_12gmail.com,2026-12-19,free
USR-3-0016,bob_wilson_74,bob_wilson_74@outlook.com,2026-10-03,pro
USR-3-0017,hannah_moore_60,Hannah @ yahoo.com,2026-03-24,pro
USR-3-0018,ian_miller_91,ian_miller_91@outlook.com,2026-01-18,enterprise
USR-3-0019,alice_smith_83,alice_smith_83@gmail.com,2026-05-07,enterprise
USR-3-0020,fiona_taylor_62,fiona_taylor_62@yahoo.com,2026-03-06,free
USR-3-0021,ethan_taylor_24,ethan_taylor_24@gmail.com,2026-09-15,enterprise
USR-3-0022,,@company.org,2026-06-12,free
USR-3-0023,diana_johnson_46,diana_johnson_46@outlook.com,2026-08-15,pro
USR-3-0024,ethan_jackson_29,ethan_jackson_29@outlook.com,2026-07-06,free
USR-3-0025,diana_moore_45,,2026-12-11,pro
USR-3-0026,fiona_miller_72,,2026-10-03,pro
USR-3-0027,charlie_thomas_35,charlie_thomas_35@gmail.com,2026-12-03,free
USR-3-0028,alice_jackson_84,alice_jackson_84@gmail.com,2026-09-09,enterprise
USR-3-0029,ian_anderson_93,ian_anderson_93@yahoo.com,2026-10-24,pro
USR-3-0030,ian_thomas_21,ian_thomas_21@yahoo.com,2026-10-22,free
USR-3-0031,charlie_anderson_30,charlie_anderson_30@yahoo.com,2026-12-24,pro
USR-3-0032,alice_taylor_72,alice_taylor_72@yahoo.com,2026-01-22,free
USR-3-0033,fiona_moore_70,fiona_moore_70@gmail.com,2026-11-11,free
USR-3-0034,ian_miller_43,ian_miller_43@company.org,2026-11-13,pro
USR-3-0035,bob_thomas_42,bob_thomas_42@mail.net,2026-07-12,pro
USR-3-0036,hannah_jackson_10,,2026-03-08,free
USR-3-0037,ethan_taylor_29,ethan_taylor_29@gmail.com,2026-11-08,pro
USR-3-0038,bob_anderson_96,bob_anderson_96@yahoo.com,2026-11-27,
USR-3-0039,alice_brown_83,,2026-09-02,enterprise
USR-3-0040,charlie_miller_33,charlie_miller_33@mail.net,2026-11-01,enterprise
USR-3-0041,ethan_johnson_37,ethan_johnson_37@company.org,2026-03-08,pro
USR-3-0042,julia_brown_89,julia_brown_89@outlook.com,2026-08-20,enterprise
USR-3-0043,george_moore_26,george_moore_26@mail.net,2026-11-14,free
USR-3-0044,charlie_anderson_88,charlie_anderson_88@mail.net,2026-09-25,free
USR-3-0045,charlie_jackson_79,charlie_jackson_79@company.org,2026-09-14,pro
USR-3-0046,ian_moore_39,ian_moore_39@company.org,2026-06-19,enterprise
USR-3-0047,julia_johnson_64,julia_johnson_64@yahoo.com,2026-02-10,enterprise
USR-3-0048,,@gmail.com,2026-10-17,free
USR-3-0049,george_taylor_98,george_taylor_98@gmail.com,2026-03-14,enterprise
USR-3-0050,ethan_thomas_64,ethan_thomas_64@company.org,2026-04-14,enterprise
USR-3-0051,hannah_brown_57,hannah_brown_57@outlook.com,2026-10-12,enterprise
USR-3-0052,charlie_johnson_39,charlie_johnson_39@yahoo.com,2026-02-07,enterprise
USR-3-0053,fiona_thomas_88,fiona_thomas_88@yahoo.com,2026-07-21,free
USR-3-0054,charlie_anderson_86,invalid_email_format,2026-02-20,free
USR-3-0055,george_jackson_93,george_jackson_93@mail.net,2026-01-25,free
USR-3-0056,hannah_smith_35,hannah_smith_35@mail.net,2026-05-07,free
USR-3-0057,ian_thomas_99,,2026-01-12,free
USR-3-0058,charlie_johnson_45,charlie_johnson_45@company.org,2026-07-19,free
